Date,VKOSPI,KOSPI200,Open_interest,For_KOSPI_Netbuying_Amount,For_Future_Netbuying_Quantity,For_Call_Netbuying_Quantity,For_Put_Netbuying_Quantity,Indiv_Future_Netbuying_Quantity,Indiv_Call_Netbuying_Quantity,Indiv_Put_Netbuying_Quantity,PCRatio,Day_till_expiration,Day_of_a_week
2012-08-14,18.34,256.65,423921,4.33E+11,-742,-4878,-1135,581,3494,4926,0.9,21,Tue
2012-08-16,18.73,260.11,469901,3.56E+11,-292,-2399,4602,833,3127,-1241,1.09,20,Thu
2012-08-17,18.72,260.08,507738,5.15E+11,-1602,1575,305,1484,828,-4757,1.13,19,Fri
2012-08-20,19.44,258.2,537867,35410359995,3771,-1525,-350,-1574,1062,2440,0.98,18,Mon
2012-08-21,19.58,258.03,568027,2.57E+11,-911,1555,-4978,2470,-780,2152,1.03,17,Tue
2012-08-22,19.69,257.5,589386,1.91E+11,-683,-8515,842,-628,12277,-1165,0.98,16,Wed
2012-08-23,19.26,256.21,624528,1.06E+11,1558,-6305,5298,-1356,2353,-3761,0.78,15,Thu
2012-08-24,19.67,257.28,657035,-2.11E+11,-3669,-4977,1050,2211,10558,-1286,0.89,14,Fri
2012-08-27,19.97,253.73,684997,3.53E+11,-463,-6577,3041,2564,8475,-4862,0.96,13,Mon
2012-08-28,19.68,252.77,716038,-1.16E+11,394,2192,5293,-1243,5038,260,0.95,12,Tue
2012-08-29,19.3,252.57,739169,-1.15E+11,-1029,2044,3759,565,2252,6898,0.77,11,Wed
2012-08-30,20,254.22,767090,-1.51E+11,-4016,-2916,4761,-1714,14059,-9003,1.08,10,Thu
2012-08-31,20.35,250.96,801109,-45567092717,74,-4995,8060,355,6833,-1751,0.8,9,Fri
2012-09-03,20.02,250.56,834566,71563318545,-1698,5592,6406,307,-1849,6620,0.78,8,Mon
2012-09-04,20.01,251.23,883068,31942785080,-4436,5827,-2859,1893,5251,2866,0.84,7,Tue
2012-09-05,21,250.56,900624,-55871182028,-7626,816,-706,1334,32534,-13183,1.02,6,Wed
2012-09-06,20.86,245.75,928846,-1.87E+11,1701,-9917,-1588,-1964,7146,10175,0.82,5,Thu
